date,model_num,epoch_num,loss,network,pretrained,train_fraction
2023-12-10,2.0,8.0,83.8621,No-BG,1.0,0.6
2023-12-10,2.0,9.0,20.21574,BG,1.0,0.6
2023-12-10,2.0,9.0,81.43785,No-BG,1.0,0.6
2023-12-10,2.0,10.0,19.721603,BG,1.0,0.6
2023-12-10,2.0,10.0,79.947655,No-BG,1.0,0.6
2023-12-10,2.0,11.0,20.253675,BG,1.0,0.6
2023-12-10,2.0,11.0,79.97226,No-BG,1.0,0.6
2023-12-10,2.0,12.0,17.926115,BG,1.0,0.6
2023-12-10,2.0,12.0,78.00518,No-BG,1.0,0.6
2023-12-10,2.0,13.0,17.032656,BG,1.0,0.6
2023-12-10,2.0,13.0,76.413315,No-BG,1.0,0.6
2023-12-10,2.0,14.0,16.377901,BG,1.0,0.6
2023-12-10,2.0,14.0,76.30603,No-BG,1.0,0.6
2023-12-10,1.0,0.0,39.903034,BG,1.0,0.6
2023-12-10,1.0,0.0,169.64104,No-BG,1.0,0.6
2023-12-10,1.0,1.0,18.244955,BG,1.0,0.6
2023-12-10,1.0,1.0,130.6867,No-BG,1.0,0.6
2023-12-10,1.0,2.0,12.6491585,BG,1.0,0.6
2023-12-10,1.0,2.0,104.85272,No-BG,1.0,0.6
2023-12-10,1.0,3.0,11.920297,BG,1.0,0.6
2023-12-10,1.0,3.0,92.79725,No-BG,1.0,0.6
2023-12-10,1.0,4.0,9.808074,BG,1.0,0.6
2023-12-10,1.0,4.0,87.61275,No-BG,1.0,0.6
2023-12-10,1.0,5.0,8.868648,BG,1.0,0.6
2023-12-10,1.0,5.0,81.35909,No-BG,1.0,0.6
2023-12-10,1.0,6.0,8.54804,BG,1.0,0.6
2023-12-10,1.0,6.0,76.40888,No-BG,1.0,0.6
2023-12-10,1.0,7.0,9.432257,BG,1.0,0.6
2023-12-10,1.0,7.0,72.55181,No-BG,1.0,0.6
2023-12-10,1.0,8.0,11.157112,BG,1.0,0.6
2023-12-10,1.0,8.0,70.55386,No-BG,1.0,0.6
2023-12-10,1.0,9.0,10.942476,BG,1.0,0.6
2023-12-10,1.0,9.0,67.0105,No-BG,1.0,0.6
2023-12-10,1.0,10.0,12.404016,BG,1.0,0.6
2023-12-10,1.0,10.0,64.94153,No-BG,1.0,0.6
2023-12-10,1.0,11.0,13.859721,BG,1.0,0.6
2023-12-10,1.0,11.0,63.440228,No-BG,1.0,0.6
2023-12-10,1.0,12.0,16.661846,BG,1.0,0.6
2023-12-10,1.0,12.0,63.776142,No-BG,1.0,0.6
2023-12-10,1.0,13.0,15.865344,BG,1.0,0.6
2023-12-10,1.0,13.0,62.200817,No-BG,1.0,0.6
2023-12-10,1.0,14.0,18.022644,BG,1.0,0.6
2023-12-10,1.0,14.0,64.935036,No-BG,1.0,0.6
2023-12-10,5.0,0.0,35.3283,BG,1.0,0.6
2023-12-10,5.0,0.0,129.83315,No-BG,1.0,0.6
2023-12-10,5.0,1.0,21.551004,BG,1.0,0.6
2023-12-10,5.0,1.0,112.48589,No-BG,1.0,0.6
2023-12-10,5.0,2.0,21.149536,BG,1.0,0.6
2023-12-10,5.0,2.0,99.31837,No-BG,1.0,0.6
2023-12-10,5.0,3.0,21.209908,BG,1.0,0.6
2023-12-10,5.0,3.0,88.66463,No-BG,1.0,0.6
2023-12-10,5.0,4.0,22.33962,BG,1.0,0.6
2023-12-10,5.0,4.0,81.97693,No-BG,1.0,0.6
2023-12-10,5.0,5.0,21.291288,BG,1.0,0.6
2023-12-10,5.0,5.0,77.1255,No-BG,1.0,0.6
2023-12-10,5.0,6.0,21.044218,BG,1.0,0.6
2023-12-10,5.0,6.0,73.989655,No-BG,1.0,0.6
2023-12-10,5.0,7.0,20.083387,BG,1.0,0.6
2023-12-10,5.0,7.0,71.522575,No-BG,1.0,0.6
2023-12-10,5.0,8.0,19.510263,BG,1.0,0.6
2023-12-10,5.0,8.0,69.30347,No-BG,1.0,0.6
2023-12-10,5.0,9.0,19.182495,BG,1.0,0.6
2023-12-10,5.0,9.0,66.65409,No-BG,1.0,0.6
2023-12-10,5.0,10.0,19.879642,BG,1.0,0.6
2023-12-10,5.0,10.0,63.99447,No-BG,1.0,0.6
2023-12-10,5.0,11.0,21.076422,BG,1.0,0.6
2023-12-10,5.0,11.0,61.832855,No-BG,1.0,0.6
2023-12-10,5.0,12.0,21.670906,BG,1.0,0.6
2023-12-10,5.0,12.0,60.97273,No-BG,1.0,0.6
2023-12-10,5.0,13.0,18.691746,BG,1.0,0.6
2023-12-10,5.0,13.0,59.80177,No-BG,1.0,0.6
2023-12-10,5.0,14.0,11.871461,BG,1.0,0.6
2023-12-10,5.0,14.0,54.454662,No-BG,1.0,0.6
2023-12-10,3.0,0.0,68.8645,BG,1.0,0.6
2023-12-10,3.0,0.0,277.316,No-BG,1.0,0.6
2023-12-10,3.0,1.0,33.32882,BG,1.0,0.6
2023-12-10,3.0,1.0,212.5799,No-BG,1.0,0.6
2023-12-10,3.0,2.0,25.97608,BG,1.0,0.6
2023-12-10,3.0,2.0,165.48143,No-BG,1.0,0.6
2023-12-10,3.0,3.0,24.851072,BG,1.0,0.6
2023-12-10,3.0,3.0,139.95995,No-BG,1.0,0.6
2023-12-10,3.0,4.0,24.321598,BG,1.0,0.6
2023-12-10,3.0,4.0,124.56675,No-BG,1.0,0.6
2023-12-10,3.0,5.0,23.569921,BG,1.0,0.6
2023-12-10,3.0,5.0,116.05021,No-BG,1.0,0.6
2023-12-10,3.0,6.0,23.839308,BG,1.0,0.6
2023-12-10,3.0,6.0,112.49187,No-BG,1.0,0.6
2023-12-10,3.0,7.0,23.91187,BG,1.0,0.6
2023-12-10,3.0,7.0,112.593575,No-BG,1.0,0.6
2023-12-10,3.0,8.0,23.068203,BG,1.0,0.6
2023-12-10,3.0,8.0,110.30466,No-BG,1.0,0.6
2023-12-10,3.0,9.0,23.631495,BG,1.0,0.6
2023-12-10,3.0,9.0,110.107216,No-BG,1.0,0.6
2023-12-10,3.0,10.0,22.305485,BG,1.0,0.6
2023-12-10,3.0,10.0,107.86769,No-BG,1.0,0.6
2023-12-10,3.0,11.0,23.174856,BG,1.0,0.6
2023-12-10,3.0,11.0,108.23901,No-BG,1.0,0.6
2023-12-10,3.0,12.0,23.98948,BG,1.0,0.6
2023-12-10,3.0,12.0,107.16648,No-BG,1.0,0.6
2023-12-10,3.0,13.0,23.867542,BG,1.0,0.6
2023-12-10,3.0,13.0,107.148834,No-BG,1.0,0.6
2023-12-10,3.0,14.0,23.297483,BG,1.0,0.6
2023-12-10,3.0,14.0,104.863304,No-BG,1.0,0.6
2023-12-10,0.0,0.0,73.84885,BG,1.0,0.6
2023-12-10,0.0,0.0,207.15196,No-BG,1.0,0.6
2023-12-10,0.0,1.0,45.004993,BG,1.0,0.6
2023-12-10,0.0,1.0,171.9851,No-BG,1.0,0.6
2023-12-10,0.0,2.0,28.362614,BG,1.0,0.6
2023-12-10,0.0,2.0,152.0403,No-BG,1.0,0.6
2023-12-10,0.0,3.0,22.695297,BG,1.0,0.6
2023-12-10,0.0,3.0,132.00246,No-BG,1.0,0.6
2023-12-10,0.0,4.0,22.287416,BG,1.0,0.6
2023-12-10,0.0,4.0,118.49556,No-BG,1.0,0.6
2023-12-10,0.0,5.0,21.0435,BG,1.0,0.6
2023-12-10,0.0,5.0,115.3585,No-BG,1.0,0.6
2023-12-10,0.0,6.0,19.93833,BG,1.0,0.6
2023-12-10,0.0,6.0,114.28581,No-BG,1.0,0.6
2023-12-10,0.0,7.0,19.402586,BG,1.0,0.6
2023-12-10,0.0,7.0,112.62132,No-BG,1.0,0.6
2023-12-10,0.0,8.0,19.223877,BG,1.0,0.6
2023-12-10,0.0,8.0,110.4695,No-BG,1.0,0.6
2023-12-10,0.0,9.0,19.327135,BG,1.0,0.6
2023-12-10,0.0,9.0,108.47793,No-BG,1.0,0.6
2023-12-10,0.0,10.0,20.031477,BG,1.0,0.6
2023-12-10,0.0,10.0,107.70957,No-BG,1.0,0.6
2023-12-10,0.0,11.0,20.214546,BG,1.0,0.6
2023-12-10,0.0,11.0,105.92252,No-BG,1.0,0.6
2023-12-10,0.0,12.0,20.712732,BG,1.0,0.6
2023-12-10,0.0,12.0,106.01204,No-BG,1.0,0.6
2023-12-10,0.0,13.0,21.352947,BG,1.0,0.6
2023-12-10,0.0,13.0,103.59697,No-BG,1.0,0.6
2023-12-10,0.0,14.0,19.381,BG,1.0,0.6
2023-12-10,0.0,14.0,102.2476,No-BG,1.0,0.6
2023-12-10,4.0,0.0,85.15494,BG,1.0,0.6
2023-12-10,4.0,0.0,343.83185,No-BG,1.0,0.6
2023-12-10,4.0,1.0,57.411358,BG,1.0,0.6
2023-12-10,4.0,1.0,294.63788,No-BG,1.0,0.6
2023-12-10,4.0,2.0,55.483658,BG,1.0,0.6
2023-12-10,4.0,2.0,252.12729,No-BG,1.0,0.6
2023-12-10,4.0,3.0,49.484615,BG,1.0,0.6
2023-12-10,4.0,3.0,214.55827,No-BG,1.0,0.6
2023-12-10,4.0,4.0,49.074463,BG,1.0,0.6
2023-12-10,4.0,4.0,176.62823,No-BG,1.0,0.6
2023-12-10,4.0,5.0,45.320496,BG,1.0,0.6
2023-12-10,4.0,5.0,141.26074,No-BG,1.0,0.6
2023-12-10,4.0,6.0,44.18049,BG,1.0,0.6
2023-12-10,4.0,6.0,115.329926,No-BG,1.0,0.6
2023-12-10,4.0,7.0,44.052334,BG,1.0,0.6
2023-12-10,4.0,7.0,104.46267,No-BG,1.0,0.6
2023-12-10,4.0,8.0,38.23876,BG,1.0,0.6
2023-12-10,4.0,8.0,98.70044,No-BG,1.0,0.6
2023-12-10,4.0,9.0,37.55603,BG,1.0,0.6
2023-12-10,4.0,9.0,92.78114,No-BG,1.0,0.6
